Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
rameshln/cog-attention,gemini-2.5-flash,cogattention_shifting,1,"2026-04-04 12:12:34",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_inhibition_return1,1,"2026-04-04 12:12:45",,,,True
rameshln/cog-attention,gemini-2.5-flash,cogattention_anomaly1,1,"2026-04-04 12:13:26",,,,True
rameshln/cog-attention,claude-opus-4-6-default,,1,"2026-04-04 12:59:57",0.8421052631578947,,,
rameshln/cog-attention,claude-opus-4-6-default,cogattention_blink,1,"2026-03-19 15:25:23",,,,False
rameshln/cog-attention,claude-opus-4-6-default,cogattention_inhibition_return,1,"2026-03-19 15:21:36",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_flanker,1,"2026-03-19 15:24:33",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_context_dilution,1,"2026-03-19 15:20:05",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_semantic_niah,1,"2026-03-19 15:24:22",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_multihop,1,"2026-03-19 15:24:29",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_visual_stroop,1,"2026-03-20 18:19:18",,,,False
rameshln/cog-attention,claude-opus-4-6-default,cogattention_visual_inattentional,1,"2026-04-01 10:34:49",,,,False
rameshln/cog-attention,claude-opus-4-6-default,cogattention_blinks,1,"2026-04-04 12:30:10",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_capacity,1,"2026-04-04 12:30:08",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_stream_segregation,1,"2026-04-04 12:44:25",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_interference,1,"2026-04-04 12:29:58",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_sustained,1,"2026-04-04 12:40:53",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_selective,1,"2026-04-04 12:44:41",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_flankers,1,"2026-04-04 12:48:51",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_stroop,1,"2026-04-04 12:55:39",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_shifting,1,"2026-04-04 12:55:47",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_inhibition_return1,1,"2026-04-04 12:55:49",,,,True
rameshln/cog-attention,claude-opus-4-6-default,cogattention_anomaly1,1,"2026-04-04 12:59:57",,,,True
rameshln/cog-attention,gpt-oss-20b,,1,"2026-04-04 13:35:26",0.8333333333333334,,,
rameshln/cog-attention,gpt-oss-20b,cogattention_blink,1,"2026-04-04 13:25:15",,,,False
rameshln/cog-attention,gpt-oss-20b,cogattention_inhibition_return,1,"2026-04-04 13:35:26",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_flanker,1,,,,,
rameshln/cog-attention,gpt-oss-20b,cogattention_context_dilution,1,"2026-04-04 11:17:15",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_semantic_niah,1,"2026-04-04 11:17:26",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_multihop,1,"2026-04-04 11:17:31",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_visual_stroop,1,"2026-04-04 11:29:10",,,,False
rameshln/cog-attention,gpt-oss-20b,cogattention_visual_inattentional,1,"2026-04-04 11:23:17",,,,False
rameshln/cog-attention,gpt-oss-20b,cogattention_blinks,1,"2026-04-04 12:40:05",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_capacity,1,"2026-04-04 12:29:57",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_stream_segregation,1,"2026-04-04 12:52:04",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_interference,1,"2026-04-04 12:29:53",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_sustained,1,"2026-04-04 12:40:44",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_selective,1,"2026-04-04 12:51:57",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_flankers,1,"2026-04-04 12:48:45",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_stroop,1,"2026-04-04 12:55:41",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_shifting,1,"2026-04-04 12:55:42",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_inhibition_return1,1,"2026-04-04 12:55:47",,,,True
rameshln/cog-attention,gpt-oss-20b,cogattention_anomaly1,1,"2026-04-04 13:05:36",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,,1,"2026-04-04 12:59:16",0.7894736842105263,,,
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_blink,1,"2026-03-19 15:28:15",,,,False
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_inhibition_return,1,"2026-03-19 15:21:35",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_flanker,1,"2026-03-19 15:23:49",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_context_dilution,1,"2026-03-19 15:20:10",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_semantic_niah,1,"2026-03-19 15:24:19",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_multihop,1,"2026-03-19 15:24:35",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_visual_stroop,1,"2026-03-20 18:18:30",,,,False
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_visual_inattentional,1,"2026-03-20 23:05:00",,,,False
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_blinks,1,"2026-04-04 12:30:09",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_capacity,1,"2026-04-04 12:30:06",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_stream_segregation,1,"2026-04-04 12:44:38",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_interference,1,"2026-04-04 12:29:54",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_sustained,1,"2026-04-04 12:40:32",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_selective,1,"2026-04-04 12:44:39",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_flankers,1,"2026-04-04 12:48:52",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_stroop,1,"2026-04-04 12:55:37",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_shifting,1,"2026-04-04 12:55:42",,,,False
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_inhibition_return1,1,"2026-04-04 12:55:47",,,,True
rameshln/cog-attention,claude-sonnet-4-5-20250929,cogattention_anomaly1,1,"2026-04-04 12:59:16",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,,1,"2026-04-04 12:58:32",0.7368421052631579,,,
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_blink,1,"2026-03-19 15:23:26",,,,False
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_inhibition_return,1,"2026-03-19 15:20:33",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_flanker,1,"2026-03-19 15:21:12",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_context_dilution,1,"2026-03-19 15:20:11",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_semantic_niah,1,"2026-03-19 15:24:06",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_multihop,1,"2026-03-19 15:24:18",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_visual_stroop,1,"2026-03-20 18:18:28",,,,False
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_visual_inattentional,1,"2026-03-20 23:05:10",,,,False
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_blinks,1,"2026-04-04 12:29:56",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_capacity,1,"2026-04-04 12:29:54",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_stream_segregation,1,"2026-04-04 12:44:30",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_interference,1,"2026-04-04 12:29:52",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_sustained,1,"2026-04-04 12:31:00",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_selective,1,"2026-04-04 12:44:27",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_flankers,1,"2026-04-04 12:48:47",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_stroop,1,"2026-04-04 12:55:33",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_shifting,1,"2026-04-04 12:55:40",,,,False
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_inhibition_return1,1,"2026-04-04 12:55:42",,,,True
rameshln/cog-attention,qwen3-next-80b-a3b-instruct,cogattention_anomaly1,1,"2026-04-04 12:58:32",,,,False
rameshln/cog-attention,gemma-3-27b-it,,1,"2026-04-04 12:58:39",0.6842105263157895,,,
rameshln/cog-attention,gemma-3-27b-it,cogattention_blink,1,"2026-03-19 15:35:20",,,,False
rameshln/cog-attention,gemma-3-27b-it,cogattention_inhibition_return,1,"2026-03-19 15:22:29",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_flanker,1,"2026-03-19 15:23:45",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_context_dilution,1,"2026-03-19 15:20:08",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_semantic_niah,1,"2026-03-19 15:36:12",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_multihop,1,"2026-03-19 15:24:37",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_visual_stroop,1,"2026-03-20 18:19:11",,,,False
rameshln/cog-attention,gemma-3-27b-it,cogattention_visual_inattentional,1,"2026-04-01 12:06:36",,,,False
rameshln/cog-attention,gemma-3-27b-it,cogattention_blinks,1,"2026-04-04 12:30:01",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_capacity,1,"2026-04-04 12:29:57",,,,False
rameshln/cog-attention,gemma-3-27b-it,cogattention_stream_segregation,1,"2026-04-04 12:44:21",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_interference,1,"2026-04-04 12:29:56",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_sustained,1,"2026-04-04 12:40:07",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_selective,1,"2026-04-04 12:44:37",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_flankers,1,"2026-04-04 12:48:45",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_stroop,1,"2026-04-04 12:55:44",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_shifting,1,"2026-04-04 12:55:46",,,,False
rameshln/cog-attention,gemma-3-27b-it,cogattention_inhibition_return1,1,"2026-04-04 12:55:59",,,,True
rameshln/cog-attention,gemma-3-27b-it,cogattention_anomaly1,1,"2026-04-04 12:58:39",,,,False
